date,closeprofit,positionprofit,dynbalance,fee
20190902,0.00,0.00,0.00,0.00
20190903,0.00,0.00,0.00,0.00
20190904,0.00,0.00,0.00,0.00
20190905,0.00,0.00,0.00,0.00
20190906,0.00,0.00,0.00,0.00
20190909,0.00,0.00,0.00,0.00
20190910,0.00,0.00,0.00,0.00
20190911,0.00,0.00,0.00,0.00
20190912,0.00,0.00,0.00,0.00
20190916,0.00,0.00,0.00,0.00
20190917,0.00,0.00,0.00,0.00
20190918,0.00,0.00,0.00,0.00
20190919,0.00,0.00,0.00,0.00
20190920,0.00,0.00,0.00,0.00
20190923,0.00,0.00,0.00,0.00
20190924,0.00,0.00,0.00,0.00
20190925,0.00,0.00,0.00,0.00
20190926,0.00,0.00,0.00,0.00
20190927,0.00,0.00,0.00,0.00
20190930,0.00,0.00,0.00,0.00
20191008,0.00,0.00,0.00,0.00
20191009,0.00,0.00,0.00,0.00
20191010,0.00,0.00,0.00,0.00
20191011,0.00,0.00,0.00,0.00
20191014,0.00,0.00,0.00,0.00
20191015,0.00,0.00,0.00,0.00
20191016,0.00,0.00,0.00,0.00
20191017,0.00,0.00,0.00,0.00
20191018,0.00,0.00,0.00,0.00
20191021,0.00,0.00,0.00,0.00
20191022,0.00,0.00,0.00,0.00
20191023,0.00,0.00,0.00,0.00
20191024,0.00,0.00,0.00,0.00
20191025,0.00,0.00,0.00,0.00
20191028,0.00,0.00,0.00,0.00
20191029,0.00,0.00,0.00,0.00
20191030,0.00,0.00,0.00,0.00
20191031,0.00,0.00,0.00,0.00
20191101,0.00,0.00,0.00,0.00
20191104,0.00,0.00,0.00,0.00
20191105,0.00,0.00,0.00,0.00
20191106,0.00,0.00,0.00,0.00
20191107,0.00,0.00,0.00,0.00
20191108,0.00,0.00,0.00,0.00
20191111,0.00,0.00,0.00,0.00
20191112,0.00,0.00,0.00,0.00
20191113,0.00,0.00,0.00,0.00
20191114,0.00,0.00,0.00,0.00
20191115,0.00,0.00,0.00,0.00
20191118,0.00,0.00,0.00,0.00
20191119,0.00,0.00,0.00,0.00
20191120,0.00,0.00,0.00,0.00
20191121,0.00,0.00,0.00,0.00
20191122,0.00,0.00,0.00,0.00
20191125,0.00,0.00,0.00,0.00
20191126,0.00,0.00,0.00,0.00
20191127,0.00,0.00,0.00,0.00
20191128,0.00,0.00,0.00,0.00
20191129,0.00,0.00,0.00,0.00
