code,target,sigprice,gentime,usertag
CFFEX.IF.1909,2,0,20190904093500000,DT_EnterLong
CFFEX.IF.1909,0,0,20190910093500000,DT_ExitLong
CFFEX.IF.1910,-2,0,20190923093500000,DT_EnterShort
CFFEX.IF.1910,0,0,20190923143000000,DT_ExitShort
CFFEX.IF.1910,2,0,20191011112500000,DT_EnterLong
CFFEX.IF.1910,0,0,20191018093000000,switchout
CFFEX.IF.1911,2,0,20191018093000000,switchin
CFFEX.IF.1911,0,0,20191030094000000,DT_ExitLong
CFFEX.IF.1911,2,0,20191105103500000,DT_EnterLong
CFFEX.IF.1911,0,0,20191115093000000,switchout
CFFEX.IF.1912,2,0,20191115093000000,switchin
CFFEX.IF.1912,0,0,20191129094500000,DT_ExitLong
